work_year,salary,salary_in_usd,remote_ratio
1.0,0.0024346910574455484,0.18143584164291432,1.0
1.0,0.0007896295321445021,0.05589972755963567,1.0
1.0,0.000641573994867408,0.04578436749777462,1.0
1.0,0.005560307955517536,0.3818391073307139,1.0
1.0,0.003750740277686385,0.25820692879685664,1.0
1.0,0.007113246035401723,0.48793799509067864,0.0
1.0,0.00427715996578272,0.2941726534612515,0.0
1.0,0.007007962097782456,0.48074485015779966,0.0
1.0,0.004441666118312824,0.30541194241887487,0.0
1.0,0.004642363624399552,0.31912387494717537,0.0
1.0,0.002786734223859972,0.19234469550518357,0.0
1.0,0.004079752582746595,0.2806855067121034,1.0
1.0,0.0030927156675659667,0.21324977296636308,1.0
1.0,0.006832269526880304,0.4687412895510579,0.0
1.0,0.00410475751793117,0.28239387863366217,0.0
1.0,0.004642363624399552,0.31912387494717537,0.0
1.0,0.002786734223859972,0.19234469550518357,0.0
1.0,0.005395801802987431,0.37059981837309053,0.0
1.0,0.004737777192867013,0.32564266254259694,0.0
1.0,0.004737777192867013,0.32564266254259694,1.0
1.0,0.003421727972626176,0.23572835088160984,1.0
1.0,0.008850431006119628,0.6066248864831816,0.0
1.0,0.005527406725011515,0.3795912495391892,0.0
1.0,0.0073698756333486866,0.5054712858645711,1.0
1.0,0.004514048825426071,0.31035722956022915,1.0
1.0,0.007205369480818582,0.49423199690694775,0.0
1.0,0.004948345068105547,0.3400289524083549,0.0
1.0,0.006382838718168059,0.43803555211883083,0.0
1.0,0.004079752582746595,0.2806855067121034,0.0
1.0,0.0027637033625057573,0.1907711950511163,0.0
1.0,0.0021714812133973808,0.15030975480367212,0.0
1.0,0.008133184181088372,0.5576215866279437,0.0
1.0,0.002786734223859972,0.19234469550518357,0.0
1.0,0.011081463446732907,0.75905212332647,0.0
1.0,0.005875830756070276,0.40339606355143554,0.0
1.0,0.005149042574192274,0.3537408849366554,0.0
1.0,0.004079752582746595,0.2806855067121034,0.0
1.0,0.003269724287688359,0.22534324788476584,0.0
1.0,0.0019247219846022239,0.13345082136723704,0.0
1.0,0.0030927156675659667,0.21324977296636308,1.0
1.0,0.0007896295321445021,0.05589972755963567,1.0
0.6666666666667425,0.0540896229518984,0.03563304171124919,0.5
1.0,0.006534842403105876,0.4484206551156748,0.0
1.0,0.0034441008093702703,0.23725689417984663,0.0
1.0,0.008709054418635256,0.596965841553,0.0
1.0,0.007089688754359413,0.486328528911947,0.0
1.0,0.006802329407119826,0.46669573896077043,1.0
1.0,0.005889320260577745,0.4043176852459607,1.0
1.0,0.008422715009541356,0.5774027351933608,1.0
1.0,0.007863394090939,0.5391891527374413,1.0
1.0,0.008860301375271435,0.607299243820639,1.0
1.0,0.005839968414818713,0.40094589855867363,1.0
1.0,0.006991511482529446,0.47962092126203737,1.0
1.0,0.006353161808251628,0.43600798439087557,1.0
1.0,0.0064914127788379275,0.4454534828308623,1.0
1.0,0.0038691847075080603,0.2662992168463455,1.0
1.0,0.006024544317957491,0.4135563807691271,0.0
1.0,0.004375863657300783,0.30091622683582553,0.0
1.0,0.008315786010396788,0.5700971973709056,0.0
1.0,0.005889320260577745,0.4043176852459607,0.0
1.0,0.007419227479107718,0.5088430725518581,1.0
1.0,0.005264196880963348,0.3616083872069918,1.0
1.0,0.005478054879252484,0.3762194628519022,1.0
1.0,0.0034381785878791864,0.2368522797773722,1.0
1.0,0.007633085477396854,0.5234541481967685,0.0
1.0,0.005593209186023557,0.38408696512223856,0.0
1.0,0.007600184246890833,0.5212062904052439,1.0
1.0,0.00643054550240179,0.4412949459165416,1.0
1.0,0.009982233335526747,0.6839511945116306,0.0
1.0,0.005037178390471803,0.34609816844547153,0.0
1.0,0.0035862341251562805,0.24696763983923323,0.0
1.0,0.00248404290320458,0.17166440382315654,0.0
1.0,0.007600184246890833,0.5212062904052439,1.0
1.0,0.00643054550240179,0.4412949459165416,1.0
1.0,0.009014937158649733,0.617864175440805,0.0
1.0,0.006711851023228268,0.4605141300340776,0.0
1.0,0.009018227281700335,0.6180889612199575,1.0
1.0,0.005333289465025991,0.3663288885691936,1.0
1.0,0.006168980719878923,0.4234244764739204,1.0
1.0,0.004375863657300783,0.30091622683582553,1.0
1.0,0.016582220175034544,0.1347141174460739,0.0
1.0,0.004737777192867013,0.32564266254259694,1.0
1.0,0.0019411725998552346,0.14525432263053312,1.0
0.6666666666667425,0.00967296176877015,0.6628213312712985,0.5
1.0,0.0027637033625057573,0.20555760360376563,1.0
1.0,0.0059189313680331635,0.40634075725833285,0.0
1.0,0.00405672172139238,0.2791120062580361,0.0
1.0,0.007205369480818582,0.49423199690694775,1.0
1.0,0.005560307955517536,0.3818391073307139,1.0
1.0,0.005889320260577745,0.4043176852459607,0.0
1.0,0.004408764887806804,0.30316408462735017,0.0
1.0,0.001283147989734816,0.09701079870883049,0.0
1.0,0.0009870369151806276,0.07530098815828516,0.0
1.0,0.003257221820096071,0.22448906192398646,0.0
1.0,0.002105678752385339,0.14581403922062275,0.0
1.0,0.005171941830624465,0.3553053939595566,0.0
1.0,0.004602388629334737,0.3163927277304729,0.0
1.0,0.006942159636770415,0.4762491345747503,1.0
1.0,0.005889320260577745,0.4043176852459607,1.0
1.0,0.006474962163584917,0.44432955393509993,0.0
1.0,0.003234190958741857,0.22291556146991917,0.0
1.0,0.004573271040336909,0.31440337358497356,0.0
1.0,0.0019411725998552346,0.13457475026299937,0.0
1.0,0.005231295650457326,0.3593605294154671,0.0
1.0,0.004155425412910443,0.28585557963261016,0.0
1.0,0.005697506086727643,0.3912126743213718,0.0
1.0,0.0029051786536816475,0.2004369835546724,0.0
1.0,0.004820030269132065,0.33126230702140863,0.0
1.0,0.0036339409093900108,0.25022703363694404,0.0
1.0,0.007939066921102848,0.544359225657948,0.0
1.0,0.004204777258669474,0.2892273663198972,0.0
1.0,0.006481542409686122,0.44477912549340487,0.0
1.0,0.0041784562742646575,0.28742908008667745,0.0
1.0,0.007040863328288478,0.48299270794932436,0.5
0.6666666666667425,0.0015792590642890042,0.1155488819155345,1.0
1.0,0.004737777192867013,0.32564266254259694,0.0
1.0,0.003750740277686385,0.25820692879685664,0.0
1.0,0.009337369217608738,0.6398931817977468,0.0
1.0,0.006843455945252352,0.4695055612001763,0.0
1.0,0.005718891886556557,0.3926737818858628,0.0
1.0,0.004535763637560045,0.31184081570263544,0.0
1.0,0.009120221096269,0.625057320373684,1.0
1.0,0.006014344936500625,0.4128595448537544,1.0
